year,month,title,writer,rank,split_writer,nouns
2003,11,못 말리는 종이괴물,"루이 트롱댕 (지은이), 김미선  (옮긴이) |",35,"[('루이 트롱댕 ', '지은이'), (', 김미선  ', '옮긴이')]","['종이', '괴물']"
2003,11,지상에 숟가락 하나,현기영  (지은이) |,36,"[('현기영  ', '지은이')]","['지상', '숟가락']"
2003,11,"안돼, 데이빗!",데이빗 섀논  (지은이) |,37,"[('데이빗 섀논  ', '지은이')]","['안', '데이', '빗']"
2003,11,"응가하자, 끙끙",최민오  (지은이) |,38,"[('최민오  ', '지은이')]",[]
2003,11,내 이름은 삐삐 롱스타킹,"아스트리드 린드그렌 (지은이), 롤프 레티히 (그림), 햇살과나무꾼  (옮긴이) |",39,"[('아스트리드 린드그렌 ', '지은이'), (', 롤프 레티히 ', '그림'), (', 햇살과나무꾼  ', '옮긴이')]","['이름', '삐삐']"
2003,11,처음 만나는 우리 아기 이유식,하정훈  (지은이) |,40,"[('하정훈  ', '지은이')]","['처음', '아기', '이유식']"
2003,11,나쁜 어린이표,"황선미 (글), 권사우  (그림) |",41,"[('황선미 ', '글'), (', 권사우  ', '그림')]","['어린이', '표']"
2003,11,"CEO 히틀러와 처칠, 리더십의 비밀","앤드류 로버츠 (지은이), 이은정  (옮긴이) |",42,"[('앤드류 로버츠 ', '지은이'), (', 이은정  ', '옮긴이')]","['히틀러', '처칠', '리더십', '비밀']"
2003,11,우리끼리 가자,"윤구병 (지은이), 이태수  (그림) |",43,"[('윤구병 ', '지은이'), (', 이태수  ', '그림')]",['가자']
2003,11,삼국지 세트 - 전10권,"나관중 (지은이), 왕훙시 (그림), 황석영  (옮긴이) |",44,"[('나관중 ', '지은이'), (', 왕훙시 ', '그림'), (', 황석영  ', '옮긴이')]","['삼국지', '세트']"
2003,11,열두 살에 부자가 된 키라,"보도 섀퍼 (지은이), 신지원 (그림), 김준광  (옮긴이) |",45,"[('보도 섀퍼 ', '지은이'), (', 신지원 ', '그림'), (', 김준광  ', '옮긴이')]",['열두 살에 부자가 된 키라']
2003,11,똥벼락,"김회경 (글), 조혜란  (그림) |",46,"[('김회경 ', '글'), (', 조혜란  ', '그림')]","['똥', '벼락']"
2003,11,도깨비를 빨아 버린 우리 엄마,"사토 와키코 (지은이), 이영준  (옮긴이) |",47,"[('사토 와키코 ', '지은이'), (', 이영준  ', '옮긴이')]","['도깨비', '엄마']"
2003,11,일기 감추는 날,"황선미 (지은이), 소윤경  (그림) |",48,"[('황선미 ', '지은이'), (', 소윤경  ', '그림')]","['일기', '날']"
2003,11,나는 왜 너가 아니고 나인가,류시화  (지은이) |,49,"[('류시화  ', '지은이')]",[]
2003,11,Hackers TOEFL Vocabulary (테이프 별매),David Cho  (지은이) |,50,"[('David Cho  ', '지은이')]","['테이프', '별', '매']"
2003,12,칭찬받은 쉬운 요리,김혜경  (지은이) |,1,"[('김혜경  ', '지은이')]","['칭찬', '요리']"
2003,12,호밀밭의 파수꾼,"제롬 데이비드 샐린저 (지은이), 공경희  (옮긴이) |",2,"[('제롬 데이비드 샐린저 ', '지은이'), (', 공경희  ', '옮긴이')]",['호밀밭의 파수꾼']
2003,12,창가의 토토,"구로야나기 테츠코 (지은이), 이와사키 치히로 (그림), 김난주  (옮긴이) |",3,"[('구로야나기 테츠코 ', '지은이'), (', 이와사키 치히로 ', '그림'), (', 김난주  ', '옮긴이')]",['창가의 토토']
2003,12,도대체 그 동안 무슨 일이 일어났을까?,이호백  (글) |,4,"[('이호백  ', '글')]","['동안', '일']"
2003,12,마법천자문 1,"스튜디오 시리얼 (지은이), 김창환  (감수) |",5,"[('스튜디오 시리얼 ', '지은이'), (', 김창환  ', '감수')]",['마법천자문']
2003,12,내 이름은 삐삐 롱스타킹,"아스트리드 린드그렌 (지은이), 롤프 레티히 (그림), 햇살과나무꾼  (옮긴이) |",6,"[('아스트리드 린드그렌 ', '지은이'), (', 롤프 레티히 ', '그림'), (', 햇살과나무꾼  ', '옮긴이')]","['이름', '삐삐']"
2003,12,야생초 편지,황대권  (지은이) |,7,"[('황대권  ', '지은이')]","['야생초', '편지']"
2003,12,칠판 앞에 나가기 싫어!,"다니엘 포세트 (지은이), 베로니크 보아리 (그림), 최윤정  (옮긴이) |",8,"[('다니엘 포세트 ', '지은이'), (', 베로니크 보아리 ', '그림'), (', 최윤정  ', '옮긴이')]","['칠판', '앞']"
2003,12,"부자의 첫걸음, 종자돈 1억 만들기",김의경  (지은이) |,9,"[('김의경  ', '지은이')]","['부자', '첫걸음', '종자', '돈']"
2003,12,못 말리는 종이괴물,"루이 트롱댕 (지은이), 김미선  (옮긴이) |",10,"[('루이 트롱댕 ', '지은이'), (', 김미선  ', '옮긴이')]","['종이', '괴물']"
2003,12,여자와 남자,박혜란  (지은이) |,11,"[('박혜란  ', '지은이')]","['여자', '남자']"
2003,12,멍멍의사 선생님,배빗 콜  (지은이) |,12,"[('배빗 콜  ', '지은이')]","['의사', '선생님']"
2003,12,심심해서 그랬어,"윤구병 (지은이), 이태수  (그림) |",13,"[('윤구병 ', '지은이'), (', 이태수  ', '그림')]",[]
2003,12,한국의 부자들,한상복  (지은이) |,14,"[('한상복  ', '지은이')]","['한국', '부자']"
2003,12,싹싹싹,"하야시 아키코 (지은이), 하야시 아키코  (그림) |",15,"[('하야시 아키코 ', '지은이'), (', 하야시 아키코  ', '그림')]",[]
2003,12,초대받은 아이들,"황선미 (지은이), 김진이  (그림) |",16,"[('황선미 ', '지은이'), (', 김진이  ', '그림')]","['초대', '아이들']"
2003,12,나무는 좋다,"재니스 메이 우드리 (지은이), 마르크 시몽 (그림), 강무홍  (옮긴이) |",17,"[('재니스 메이 우드리 ', '지은이'), (', 마르크 시몽 ', '그림'), (', 강무홍  ', '옮긴이')]",['나무']
2003,12,내가 아빠를 얼마나 사랑하는지 아세요?,"샘 맥브래트니 (지은이), 아니타 제람 (그림), 김서정  (옮긴이) |",18,"[('샘 맥브래트니 ', '지은이'), (', 아니타 제람 ', '그림'), (', 김서정  ', '옮긴이')]","['아빠', '사랑']"
2003,12,삼미 슈퍼스타즈의 마지막 팬클럽,박민규  (지은이) |,19,"[('박민규  ', '지은이')]","['삼미', '슈퍼스타즈', '마지막', '팬클럽']"
